Clave,Unidad,Nombre,Cantidad,Costo,Precio,Cantidad Mínima,Precios Adicionales,Información Adicional,Categoría,Costo Promedio,
,,GUANTE NIÑO,0.0,0.0,1150.0,0.0,,,,0.0,
,,GUANTES ADULTO,0.0,0.0,1400.0,0.0,,,,0.0,
,,GUANTES CHICOS,0.0,0.0,1150.0,0.0,,,,0.0,
GUANTES DE H,,GUANTES DE H,0.0,1600.0,4000.0,1.0,,,,1600.0,
GUANTES DE NAV 1,,GUANTES DE NAV 1,0.0,170.0,650.0,0.0,,,,170.0,
GUANTES DE NAV 2,,GUANTES DE NAV 2,0.0,260.0,950.0,0.0,,,,260.0,
GUANTES NAV ADULTO,,GUANTES NAV ADULTO,0.0,340.0,1200.0,0.0,,,,340.0,
GUIRNALDAS,,GUIRNALDAS,0.0,170.0,600.0,0.0,,,,170.0,
,,HEBILLA COLA SIRENA,0.0,0.0,750.0,0.0,,,,0.0,
,,HEBILLA DETALLE,0.0,0.0,650.0,0.0,,,,0.0,
,,HEBILLA FLOR 2,0.0,0.0,750.0,0.0,,,,0.0,
,,HEBILLA LAZO 1,0.0,0.0,750.0,0.0,,,,0.0,
,,HEBILLA LAZO 2,0.0,0.0,800.0,0.0,,,,0.0,
HEBILLA 1,,HEBILLA PAR,0.0,148.0,550.0,0.0,,,,148.0,
,,HEBILLA PAR FLOR,0.0,0.0,600.0,0.0,,,,0.0,
,,HEBILLAS FLOR,0.0,0.0,400.0,0.0,,,,0.0,
,,HEBILLAS MARIPOSA,12.0,0.0,850.0,0.0,,,,0.0,
,,HEBILLAS MUÑE,0.0,0.0,850.0,0.0,,,,0.0,
,,HEBILLAS NIÑA,0.0,0.0,350.0,0.0,,,,0.0,
,,HEBILLAS TIC TAC,0.0,0.0,400.0,0.0,,,,0.0,
HILOS ROJO,,HILOS ROJO,0.0,130.0,600.0,0.0,,,,130.0,
HINCHA LABIO,,HINCHA LABIO 1,6.0,148.0,650.0,0.0,,,,148.0,
,,HINCHA LABIOS 2,0.0,0.0,700.0,0.0,,,,0.0,
,,HINCHALABIOS 3,44.0,0.0,1200.0,0.0,,,,0.0,
HUESO PERRO,,HUESO PERRO,0.0,208.0,600.0,0.0,,,,208.0,
INCIENSO 1,,INCIENSO 1,0.0,65.0,350.0,0.0,,,,65.0,
INCIENSOS GRANDES,,INCIENSOS GRANDES,37.0,140.0,650.0,0.0,,,,140.0,
JABONERA,,JABONERA,0.0,200.0,500.0,0.0,,,,200.0,
JOYERO,,JOYERO,0.0,400.0,1000.0,0.0,,,,400.0,
,,JUEGO ARETE ANILLO,0.0,0.0,3000.0,0.0,,,,0.0,
,,JUEGO ARETE CADENA,0.0,0.0,4500.0,0.0,,,,0.0,
