Clave,Unidad,Nombre,Cantidad,Costo,Precio,Cantidad Mínima,Precios Adicionales,Información Adicional,Categoría,Costo Promedio,
ESPONJA BAÑO,,ESPONJA BAÑO,1.0,0.0,750.0,0.0,,,,0.0,
,,ESPONJA BAÑO 2,0.0,0.0,500.0,0.0,,,,0.0,
ESPONJA FREGAR,,ESPONJA FREGAR,0.0,0.0,200.0,2.0,,,,0.0,
ESPONJA MAQUILLAJE,,ESPONJA MAQUILLAJE,0.0,0.0,250.0,2.0,,,,0.0,
ESPONJITA,,ESPONJITA,0.0,0.0,400.0,1.0,,,,0.0,
,,ESQUELETOS,0.0,0.0,3500.0,0.0,,,,0.0,
ESTUCHE MAQ CHICO,,ESTUCHE MAQ CHICO,0.0,0.0,1200.0,1.0,,,,0.0,
ESTUCHE MAQ GRANDE,,ESTUCHE MAQ GRANDE,0.0,0.0,1500.0,1.0,,,,0.0,
,,ESTUCHE MAQUILLAJE REBAJA,0.0,0.0,800.0,0.0,,,,0.0,
EXFOLIANTE,,EXFOLIANTE,0.0,0.0,1500.0,1.0,,,,0.0,
FAJAS,,FAJAS,0.0,0.0,3500.0,1.0,,,,0.0,
,,FAROLES,0.0,0.0,2300.0,0.0,,,,0.0,
,,FELPA FLOR,4.0,0.0,950.0,0.0,,,,0.0,
,,FELPA LAZO 3,1.0,0.0,850.0,0.0,,,,0.0,
,,FELPA LAZO 4,0.0,0.0,1500.0,0.0,,,,0.0,
,,FELPA LAZO REBAJA 1,0.0,0.0,500.0,0.0,,,,0.0,
,,FELPA LAZO REBAJA 2,0.0,0.0,600.0,0.0,,,,0.0,
,,FELPA MUÑE,0.0,0.0,650.0,0.0,,,,0.0,
,,FELPA PERLA,0.0,0.0,550.0,0.0,,,,0.0,
,,FELPA SCRUNCH 1,8.0,0.0,350.0,0.0,,,,0.0,
,,FELPA SCRUNCH 2,2.0,0.0,450.0,0.0,,,,0.0,
,,FELPA SCRUNCH 3,11.0,0.0,500.0,0.0,,,,0.0,
,,FELPA SCRUNCH 4,7.0,0.0,650.0,0.0,,,,0.0,
FELPAS CHICAS,,FELPAS CHICAS,0.0,0.0,400.0,1.0,,,,0.0,
FELPAS CHICAS PAR,,FELPAS CHICAS PAR,1.0,152.0,700.0,0.0,,,,152.0,
,,FELPAS DETALLE,1.0,0.0,600.0,0.0,,,,0.0,
FELPAS,,FELPAS DETALLE 1,5.0,0.0,750.0,0.0,,,,0.0,
FELPAS LAZO 1,,FELPAS LAZO 1,1.0,173.0,750.0,0.0,,,,173.0,
FELPAS LAZO 2,,FELPAS LAZO 2,0.0,238.0,900.0,2.0,,,,238.0,
FELPAS PAR,,FELPAS PAR,0.0,0.0,450.0,1.0,,,,0.0,
,,FELPAS PLATEADAS,0.0,0.0,550.0,0.0,,,,0.0,
FELPAS TRÍO,,FELPAS TRÍO,0.0,0.0,550.0,1.0,,,,0.0,
FIGURA NARUTO MEDIANO,,FIGURA NARUTO MED,0.0,497.0,3500.0,0.0,,,,497.0,
FIGURA NAVIDAD,,FIGURA NAVIDAD,0.0,0.0,950.0,0.0,,,,0.0,
,,FIGURA REBAJA,0.0,0.0,1500.0,0.0,,,,0.0,
,,FIGURA REBAJA 2,0.0,0.0,2500.0,0.0,,,,0.0,
,,FIGURAS KITTY,6.0,0.0,2500.0,0.0,,,,0.0,
FIGURAS MANGA 1,,FIGURAS MANGA 1,2.0,0.0,3800.0,0.0,,,,0.0,
FIGURAS MANGA 2,,FIGURAS MANGA 2,12.0,0.0,4500.0,2.0,,,,0.0,
FIGURAS MANGA CHICAS,,FIGURAS MANGA CHICAS,25.0,586.0,3500.0,3.0,,,,473.99,
FIGURAS MARIO CHICA,,FIGURAS MARIO CHICA,1.0,0.0,4100.0,1.0,,,,0.0,
FIGURAS MARIO GRANDE,,FIGURAS MARIO GRANDE,5.0,1042.0,5300.0,1.0,,,,629.09,
FIGURAS MARVEL GRANDES,,FIGURAS MARVEL GRANDES,2.0,0.0,5300.0,1.0,,,,0.0,
,,FIGURAS MARVEL M,3.0,0.0,4500.0,0.0,,,,0.0,
FIGURAS NARUTO CHICO,,FIGURAS NARUTO CHICO,26.0,497.0,2350.0,3.0,,,,146.18,
FINISH,,FINISH,4.0,0.0,1500.0,1.0,,,,0.0,
FUNKO CHICO,,FUNKO CHICO,0.0,0.0,2300.0,0.0,,,,0.0,
,,FUNKOS GRANDES,1.0,0.0,2000.0,0.0,,,,0.0,
GAFAS ADULTO,,GAFAS ADULTO,17.0,0.0,2500.0,0.0,,,,0.0,
,,GAFAS FASHION,1.0,0.0,3800.0,0.0,,,,0.0,
,,GAFAS HALLOWEEN,0.0,0.0,500.0,0.0,,,,0.0,
GAFAS NIÑO,,GAFAS NIÑO,11.0,0.0,1500.0,2.0,,,,0.0,
GAFAS REBAJA,,GAFAS REBAJA,0.0,0.0,1200.0,2.0,,,,0.0,
GANCHO PELO 1,,GANCHO PELO 1,11.0,67.0,450.0,1.0,,,,67.0,
GANCHO PELO 2,,GANCHO PELO 2,0.0,0.0,600.0,1.0,,,,0.0,
GEL FACIAL,,GEL FACIAL,0.0,0.0,1300.0,1.0,,,,0.0,
GIRASOLES,,GIRASOLES,0.0,0.0,1000.0,0.0,,,,0.0,
GLOBO 2,,GLOBO 2,0.0,0.0,250.0,0.0,,,,0.0,
GLOBO INFLABLE,,GLOBO INFLABLE,1.0,0.0,2500.0,0.0,,,,0.0,
GLOBOS NAV,,GLOBOS NAV,13.0,0.0,350.0,0.0,,,,0.0,
GLOBOS NÚMEROS,,GLOBOS NÚMEROS,1.0,0.0,450.0,0.0,,,,0.0,
GOKU 1,,GOKU 1,4.0,0.0,2500.0,1.0,,,,0.0,
GOKU 2,,GOKU 2,4.0,0.0,3500.0,1.0,,,,0.0,
GOKU 3,,GOKU 3,0.0,0.0,4000.0,1.0,,,,0.0,
GOMA BORRAR,,GOMA BORRAR,0.0,0.0,150.0,2.0,,,,0.0,
GOMA LOCA,,GOMA LOCA,25.0,0.0,200.0,3.0,,,,0.0,
GOMA PESTAÑAS,,GOMA PESTAÑAS,9.0,0.0,600.0,2.0,,,,0.0,
